Elements,Atomic Number,Electronegativity,Atomic Radius,Thermal Conductivity,density_of_solid
H,1,2.2,0.25,0.1805,NaN
He,2,0,1.2,0.1513,NaN
Li,3,0.98,1.45,85,535
Be,4,1.57,1.05,190,1848
B,5,2.04,0.85,27,2460
C,6,2.55,0.7,140,2267
N,7,3.04,0.65,0.02583,NaN
O,8,3.44,0.6,0.02658,NaN
F,9,3.98,0.5,0.0277,NaN
Ne,10,0,1.6,0.0491,NaN
Na,11,0.93,1.8,140,968
Mg,12,1.31,1.5,160,1738
Al,13,1.61,1.25,235,2700
Si,14,1.9,1.1,150,2330
P,15,2.19,1,0.236,1823
S,16,2.58,1,0.205,1960
Cl,17,3.16,1,0.0089,NaN
Ar,18,0,0.71,0.01772,NaN
K,19,0.82,2.2,100,856
Ca,20,1,1.8,200,1550
Sc,21,1.36,1.6,16,2985
Ti,22,1.54,1.4,22,4507
V,23,1.63,1.35,31,6110
Cr,24,1.66,1.4,94,7140
Mn,25,1.55,1.4,7.8,7470
Fe,26,1.83,1.4,80,7874
Co,27,1.88,1.35,100,8900
Ni,28,1.91,1.35,91,8908
Cu,29,1.9,1.35,400,8920
Zn,30,1.65,1.35,120,7140
Ga,31,1.81,1.3,29,5904
Ge,32,2.01,1.25,60,5323
As,33,2.18,1.15,50,5727
Se,34,2.55,1.15,0.52,4819
Br,35,2.96,1.15,0.12,NaN
Kr,36,3,,0.00943,NaN
Rb,37,0.82,2.35,58,1532
Sr,38,0.95,2,35,2630
Y,39,1.22,1.8,17,4472
Zr,40,1.33,1.55,23,6511
Nb,41,1.6,1.45,54,8570
Mo,42,2.16,1.45,139,10280
Tc,43,1.9,1.35,51,11500
Ru,44,2.2,1.3,120,12370
Rh,45,2.28,1.35,150,12450
Pd,46,2.2,1.4,72,12023
Ag,47,1.93,1.6,430,10490
Cd,48,1.69,1.55,97,8650
In,49,1.78,1.55,82,7310
Sn,50,1.96,1.45,67,7310
Sb,51,2.05,1.45,24,6697
Te,52,2.1,1.4,3,6240
I,53,2.66,1.4,0.449,4940
Xe,54,2.6,,0.00565,NaN
Cs,55,0.79,2.6,36,1879
Ba,56,0.89,2.15,18,3510
La,57,1.1,1.95,13,6146
Ce,58,1.12,1.85,11,6689
Pr,59,1.13,1.85,13,6640
Nd,60,1.14,1.85,17,6800
Pm,61,1.13,1.85,15,7264
Sm,62,1.17,1.85,13,7353
Eu,63,1.2,1.85,14,5244
Gd,64,1.2,1.8,11,7901
Tb,65,1.22,1.75,11,8219
Dy,66,1.23,1.75,11,8551
Ho,67,1.24,1.75,16,8795
Er,68,1.24,1.75,15,9066
Tm,69,1.25,1.75,17,9321
Yb,70,1.1,1.75,39,6570
Lu,71,1.27,1.75,16,9841
Hf,72,1.3,1.55,23,21020
Ta,73,1.5,1.45,57,22610
W,74,2.36,1.35,170,22650
Re,75,1.9,1.35,48,21090
Os,76,2.2,1.3,88,19300
Ir,77,2.2,1.35,150,NaN
Pt,78,2.28,1.35,72,11850
Au,79,2.54,1.35,320,11340
Hg,80,2,1.5,8.3,9780
Tl,81,1.62,1.9,46,9196
Pb,82,2.33,1.8,35,NaN
Bi,83,2.02,1.6,8,NaN
Po,84,2,1.9,20,NaN
At,85,2.2,,2,5000
Rn,86,0,,0.00361,10070
Fr,87,0.7,,nan,11724
Ra,88,0.89,2.15,19,15370
Ac,89,1.1,1.95,12,19050
Th,90,1.3,1.8,54,20450
Pa,91,1.5,1.8,47,19816
